Date,CS_Ann,CD_Ann,Enrgy_Ann,Fncl_Ann,HlthC_Ann,Indstrl_Ann,Mtrls_Ann,Tech_Ann,Util_Ann,Unempl,Jobs_Non-Farm (000s),Hrly_Wages,CPI_urban,PPI_Commodity,Imp_Exp _Indx,haircut_price,cardboard_pice
12/1/98,,,,,,,,,,0.044,127596,,164.4,,91,102.7,166.5
1/1/99,,,,,,,,,,0.043,127702,,164.7,,91.3,103,165
2/1/99,,,,,,,,,,0.044,128120,,164.7,,91.2,103.3,164.5
3/1/99,,,,,,,,,,0.042,128227,,164.8,,91.5,103.7,164.6
4/1/99,,,,,,,,,,0.043,128597,,165.9,,92.4,103.9,171.3
5/1/99,,,,,,,,,,0.042,128808,,166,,93.1,104.4,174.8
6/1/99,,,,,,,,,,0.043,129089,,166,,92.9,104.3,177.2
7/1/99,,,,,,,,,,0.043,129414,,166.7,,93.8,104.6,174.9
8/1/99,,,,,,,,,,0.042,129569,,167.1,,94.8,104.9,183.1
9/1/99,,,,,,,,,,0.042,129772,,167.8,,95.8,105,190.5
10/1/99,,,,,,,,,,0.041,130177,,168.1,,96,105.5,191.6
11/1/99,,,,,,,,,,0.041,130466,,168.4,,96.7,106.1,191.9
12/1/99,-0.0441,0.1358,0.1555,0.0313,0.1474,0.1879,0.1564,0.4349,-0.0444,0.04,130772,,168.8,,97.4,106.3,191.9
1/1/00,-0.1553,0.1852,0.1732,0.0243,0.181,0.1989,0.2158,0.7033,-0.0359,0.04,131005,,169.3,,97.8,106.7,191.9
2/1/00,-0.1459,-0.0057,0.2521,-0.0313,0.1039,0.1084,0.0962,0.3239,-0.0695,0.041,131124,,170,,99.7,107.2,191.5
3/1/00,-0.2271,-0.0557,0.2004,-0.1451,0.0385,0.0504,-0.0022,0.6654,-0.1154,0.04,131596,,171,,99.9,107.5,192.3
4/1/00,-0.1906,0.0315,0.198,-0.0038,0.1044,0.174,0.076,0.595,-0.0058,0.038,131888,,170.9,,98.5,107.5,197.5
5/1/00,-0.1262,-0.0213,0.0332,-0.121,0.0362,0.0405,-0.1889,0.5084,-0.0383,0.04,132105,,171.2,,98.8,108.2,201.3
6/1/00,-0.0445,-0.0379,0.1667,0.0094,0.057,0.0506,-0.1474,0.3587,-0.0402,0.04,132061,,172.2,,100.2,108.5,203.3
7/1/00,-0.0231,-0.1311,0.0733,-0.092,0.0011,-0.0396,-0.2361,0.3297,-0.0939,0.04,132236,,172.7,,100.2,108.7,203.2
8/1/00,-0.0101,-0.0554,0.0369,0.0552,0.0186,-0.0027,-0.2209,0.2873,-0.0949,0.041,132230,,172.7,,100.4,109.4,202.9
9/1/00,-0.0369,-0.0686,0.1174,0.2112,0.1097,0.0931,-0.1789,0.367,-0.0027,0.039,132353,,173.6,,101.6,109.8,203.5
10/1/00,0.0884,-0.0513,0.1977,0.3196,0.0928,0.0613,-0.2418,0.1461,0.0808,0.039,132351,,173.9,,101.2,110,204.3
11/1/00,0.0673,-0.1316,0.1871,0.1176,0.0442,0.1221,-0.1857,0.0147,0.1427,0.039,132556,,174.2,,101.2,110.2,204.3
12/1/00,0.1131,-0.1598,0.123,0.1357,-0.056,0.1054,-0.1827,-0.2312,0.1762,0.039,132709,,174.6,,100.5,110.6,204.3
1/1/01,0.2378,-0.1683,0.2357,0.2477,-0.129,0.0588,-0.1845,-0.4348,0.1382,0.042,132698,,175.6,,100.5,110.8,204.3
2/1/01,0.155,0.0387,0.1764,0.2744,-0.0238,0.1526,-0.0904,-0.2592,0.1398,0.042,132789,,176,,99.9,111,204.3
3/1/01,0.3045,0.0318,0.2243,0.3212,0.0094,0.1392,-0.0026,-0.5063,0.2641,0.043,132747,,176.1,,98.3,111.2,204.3
4/1/01,0.1468,-0.1287,0.0339,0.0597,-0.1284,-0.0929,-0.1262,-0.5829,0.1745,0.044,132463,,176.4,,97.8,111.9,204
5/1/01,0.1249,-0.048,0.1505,0.1726,-0.0499,-0.0092,-0.0013,-0.484,0.1688,0.043,132410,,177.3,,98,112.3,202.8
6/1/01,0.0591,0.0259,0.0418,0.1342,0.008,0.0458,0.0907,-0.4448,0.1543,0.045,132299,,177.7,,97.6,112.3,202.8
7/1/01,-0.0179,0.076,0.0004,0.2021,0.0103,0.0191,0.0997,-0.4839,0.1109,0.046,132177,,177.4,,96.1,112.8,202.8
8/1/01,0.0339,0.1024,0.031,0.0845,-0.0062,0.0094,0.1111,-0.479,0.102,0.049,132028,,177.4,,96,113,200.9
9/1/01,0.0473,0.0656,-0.1097,-0.0839,-0.086,-0.1269,0.0741,-0.6053,0.0316,0.05,131771,,178.1,,95.9,113.2,199.5
10/1/01,0.015,-0.0754,-0.2228,-0.1512,-0.1966,-0.2173,0.0593,-0.5931,-0.0867,0.053,131454,,177.6,,93.7,113.4,199.2
11/1/01,-0.0606,-0.0271,-0.1661,-0.1442,-0.2057,-0.2318,0.0023,-0.5029,-0.1832,0.055,131142,,177.5,,92.3,114,198.3
12/1/01,-0.0556,0.1239,-0.166,-0.0662,-0.0251,-0.1345,0.1099,-0.3217,-0.1991,0.057,130982,,177.4,,91.4,113.7,196.7
1/1/02,-0.1197,0.119,-0.2089,-0.1164,0.0074,-0.1159,-0.0143,-0.2239,-0.1529,0.057,130852,,177.7,,91.6,113.6,196.4
2/1/02,-0.0417,0.0333,-0.1979,-0.1218,-0.0831,-0.1712,0.0415,-0.3707,-0.1335,0.057,130736,,178,,91.6,113.7,196.2
3/1/02,-0.027,0.1199,-0.1529,-0.055,-0.0168,-0.0847,0.0845,-0.2434,-0.1431,0.057,130717,,178.5,,92.8,114.3,196.7
4/1/02,0.0476,0.1358,-0.0475,0.0244,0.0798,0.0147,0.1484,-0.1375,-0.1083,0.059,130623,,179.3,,94.3,114.7,196.7
5/1/02,-0.0055,0.0675,-0.1766,-0.0296,0.0211,-0.1412,0.0249,-0.342,-0.2027,0.058,130634,,179.5,,94.4,114.9,195.1
6/1/02,-0.0273,0.0469,-0.1866,-0.0746,0.005,-0.1715,0.0233,-0.3452,-0.1991,0.058,130684,,179.6,,94.1,114.9,195.1
7/1/02,-0.0946,-0.0062,-0.1305,-0.125,-0.0694,-0.172,0.0542,-0.4344,-0.2139,0.058,130590,,180,,94.5,115.1,195.9
8/1/02,-0.1604,-0.1615,-0.2692,-0.1877,-0.0745,-0.2292,-0.0679,-0.4693,-0.3225,0.057,130587,,180.5,,94.8,115.4,198.8
9/1/02,-0.1567,-0.0764,-0.2206,-0.1191,-0.0237,-0.215,-0.0647,-0.3847,-0.2793,0.057,130501,,180.8,,95.5,115.4,199.9
10/1/02,-0.2107,-0.0152,-0.1719,-0.1521,0.0919,-0.1713,-0.0688,-0.3765,-0.3533,0.057,130628,,181.2,,95.5,115.5,202.4
11/1/02,-0.1842,-0.0033,-0.1956,-0.0808,0.1334,-0.1561,-0.0703,-0.3209,-0.3521,0.059,130615,,181.5,,94.6,115.8,200.5
12/1/02,-0.2269,-0.0405,-0.107,-0.076,0.063,-0.1714,-0.0298,-0.2742,-0.3077,0.06,130472,,181.8,,95.2,115.9,200.6
1/1/03,-0.206,-0.1913,-0.1592,-0.1568,-0.0165,-0.2453,-0.0653,-0.3893,-0.3054,0.058,130580,,182.6,,96.9,116.3,200.6
2/1/03,-0.2419,-0.2411,-0.1541,-0.1657,-0.0185,-0.2413,-0.1498,-0.3873,-0.3101,0.059,130444,,183.6,,98.5,116.5,201.3
3/1/03,-0.2758,-0.2458,-0.1712,-0.1728,-0.0731,-0.2765,-0.2024,-0.3045,-0.3431,0.059,130232,,183.9,,99.1,117,201.2
4/1/03,-0.2937,-0.2256,-0.2306,-0.223,-0.0763,-0.2791,-0.2156,-0.3332,-0.3366,0.06,130177,,183.2,,96,117.4,201.1
5/1/03,-0.2424,-0.132,-0.1928,-0.1218,-0.0617,-0.1542,-0.1159,-0.1784,-0.2398,0.061,130196,,182.9,,95.3,117.8,201.4
6/1/03,-0.1888,-0.0672,-0.0972,-0.0613,-0.0518,-0.1328,-0.1224,-0.0695,-0.1485,0.063,130194,,183.1,,96.2,117.6,201.1
7/1/03,-0.1027,-0.0226,-0.0903,-0.0252,0.0582,-0.073,-0.1076,0.0716,-0.0977,0.062,130191,,183.7,,96.7,117.9,200.9
8/1/03,-0.0585,0.1449,0.0482,0.1219,0.0768,0.0321,0.085,0.2399,-0.0019,0.061,130149,,184.5,,96.7,118.3,200.4
9/1/03,-0.0381,0.1978,0.0987,0.1039,0.0381,0.1213,0.1407,0.3466,-0.0269,0.061,130254,,185.1,,96.2,119.2,200.3
10/1/03,0.0226,0.2283,0.1321,0.223,0.0912,0.1914,0.2282,0.5427,0.163,0.06,130454,,184.9,,96.3,119.4,198.7
11/1/03,0.041,0.2625,0.1285,0.2154,0.0583,0.2208,0.291,0.3548,0.2222,0.058,130474,,185,,96.8,118.5,198.4
12/1/03,0.0652,0.1747,0.0914,0.1485,0.0359,0.1625,0.1631,0.1364,0.1772,0.057,130588,,185.5,,97.5,118.6,198.5
1/1/04,0.087,0.3553,0.2388,0.278,0.129,0.2962,0.3398,0.3732,0.2074,0.057,130769,,186.3,,99,118.7,198.5
2/1/04,0.1262,0.4004,0.2954,0.3427,0.1695,0.3633,0.3598,0.4796,0.2761,0.056,130825,,186.7,,99.4,119.1,197.6
3/1/04,0.2318,0.4321,0.3359,0.4042,0.2065,0.3853,0.4722,0.4254,0.3665,0.058,131142,,187.1,,100.2,119.4,197.1
4/1/04,0.2441,0.4026,0.315,0.4187,0.1161,0.364,0.4255,0.4132,0.3166,0.056,131411,,187.4,,100.4,119.6,195.8
5/1/04,0.2218,0.2347,0.3409,0.2051,0.1199,0.2313,0.2497,0.2537,0.1745,0.056,131694,,188.2,,101.9,119.9,200.3
6/1/04,0.1411,0.1627,0.2207,0.1472,0.0831,0.2117,0.2303,0.1712,0.0578,0.056,131793,,188.9,,101.7,120.2,207
7/1/04,0.1564,0.1806,0.3227,0.1704,0.0515,0.2952,0.2962,0.2212,0.0855,0.055,131848,,189.1,,102.1,120.5,207.6
8/1/04,0.0952,0.1005,0.3978,0.0892,0.0059,0.1991,0.1647,0.099,0.1662,0.054,131937,,189.2,,103.6,121.4,215.7
9/1/04,0.092,0.0359,0.3003,0.1382,0.0586,0.1455,0.1494,-0.0043,0.1984,0.054,132093,,189.8,,104.1,121.5,218.8
10/1/04,0.0649,0.1219,0.4604,0.118,0.0282,0.2051,0.2518,0.044,0.1406,0.055,132447,,190.8,,105.8,121.6,218.7
11/1/04,0.022,0.0719,0.4535,0.0532,-0.0018,0.1547,0.146,0.0137,0.1917,0.054,132503,,191.7,,105.5,122.1,218.7
12/1/04,0.0439,0.1095,0.5209,0.0893,-0.0052,0.2047,0.2016,0.055,0.2303,0.054,132624,,191.7,,104,122.8,219
1/1/05,0.0713,0.1211,0.2981,0.0912,0.0083,0.1574,0.1095,0.0396,0.188,0.053,132774,,191.6,,104.6,123.2,216.9
2/1/05,0.0744,0.0805,0.3371,0.032,-0.0548,0.1293,0.1252,-0.0632,0.188,0.054,133032,,192.4,,105.5,123.8,216.9
3/1/05,0.0138,0.0474,0.4647,-0.002,-0.0341,0.143,0.1605,-0.0309,0.1897,0.052,133156,,193.1,,107.8,124,216.8
4/1/05,0.0162,0.0445,0.4777,-0.0354,0.0013,0.15,0.1411,-0.0385,0.2064,0.052,133518,,193.7,,108.8,124.1,216.8
5/1/05,-0.0185,0.0182,0.3528,0.0192,0.0016,0.1192,0.1221,-0.0287,0.2865,0.051,133690,,193.6,,107.9,123.8,217.9
6/1/05,0.0108,0.0525,0.3959,0.0299,0.0189,0.1309,0.0875,0.0146,0.2777,0.05,133942,,193.7,,109.2,123.9,217.7
7/1/05,-0.0125,0.0394,0.4085,0.0407,0.0163,0.0285,0.0157,-0.0295,0.3284,0.05,134296,,194.9,,110.5,124.4,216.8
8/1/05,0.0755,0.1403,0.4714,0.0769,0.1048,0.1016,0.0987,0.0943,0.3404,0.049,134498,,196.1,,112.1,124.5,216.4
9/1/05,0.0363,0.1073,0.6031,0.0221,0.0764,0.0522,0.0358,0.1233,0.2893,0.05,134566,,198.8,,114.4,124.8,213.1
10/1/05,0.0711,0.0445,0.5421,0.04,0.0924,0.073,0.0015,0.0842,0.3488,0.05,134655,,199.1,,114.5,124.9,212.9
11/1/05,0.0697,-0.0185,0.3737,0.0603,0.0836,0.039,0.0109,0.0165,0.1942,0.05,134993,,198.1,,112.3,125.2,215
12/1/05,0.0559,-0.0206,0.3356,0.0809,0.0801,0.0356,0.0068,0.0379,0.1524,0.049,135149,,198.1,,112.3,126,217.4
1/1/06,0.0004,-0.0832,0.4025,0.0299,0.0437,-0.0026,0.0107,-0.0127,0.1363,0.047,135429,,199.3,,113.7,125.9,217.3
2/1/06,-0.006,-0.0192,0.5225,0.0633,0.1002,0.0366,0.1078,0.074,0.133,0.048,135737,,199.4,,112.8,126.9,216.6
3/1/06,0.009,-0.0024,0.2055,0.0965,0.0713,0.0635,-0.0086,0.0826,0.1093,0.047,136047,20.04,199.7,,112.7,127.2,227
4/1/06,0.0237,0.0153,0.2606,0.1381,0.0686,0.1147,0.09,0.1431,0.0537,0.047,136205,20.17,200.7,,115.1,127.2,222.9
5/1/06,0.0446,0.0677,0.4213,0.1847,-0.0039,0.1682,0.2009,0.1582,0.0371,0.046,136244,20.13,201.3,,117.2,127.3,224.3
6/1/06,0.0249,0.0151,0.312,0.1147,-0.0278,0.1131,0.148,0.0109,0.0521,0.046,136325,20.22,201.8,,117.3,127.6,232.3
7/1/06,0.0608,0.017,0.2817,0.0917,-0.028,0.1459,0.1853,0.0125,0.0218,0.047,136520,20.3,202.9,,118.2,127.9,233.5
8/1/06,0.0485,-0.0712,0.2242,0.094,-0.0022,0.0353,0.0804,-0.0667,0.0428,0.047,136694,20.31,203.8,,118.8,128.2,236.9
9/1/06,0.1068,-0.0167,0.0916,0.1371,0.0347,0.103,0.1585,0.0221,0.0778,0.045,136843,20.41,202.8,,116.2,128.5,238.9
10/1/06,0.0862,0.0715,-0.0154,0.1659,0.0518,0.11,0.1442,0.0528,0.0115,0.044,136852,20.44,201.9,,113.3,129.2,239.3
11/1/06,0.1084,0.1691,0.1454,0.1696,0.092,0.1528,0.2108,0.1286,0.1391,0.045,137063,20.48,202,,113.8,129.5,239.3
12/1/06,0.0886,0.132,0.2034,0.1126,0.0742,0.1048,0.1731,0.0685,0.1678,0.044,137249,20.57,203.1,,115.1,129.6,250.4
1/1/07,0.1184,0.1868,0.1517,0.167,0.0604,0.127,0.1574,0.1124,0.1526,0.046,137477,20.59,203.437,,113.7,130.6,250.4
2/1/07,0.1492,0.1899,0.0106,0.1655,0.0731,0.1445,0.1501,0.1061,0.135,0.045,137558,20.67,204.226,,114.1,130.95,249.2
3/1/07,0.0909,0.1408,0.0679,0.0846,0.0299,0.068,0.1763,0.0446,0.184,0.044,137793,20.72,205.288,,115.9,131.24,249.2
4/1/07,0.1213,0.1266,0.1006,0.0937,0.053,0.0479,0.1623,0.0493,0.285,0.045,137842,20.79,205.904,,117.5,131.42,249.2
5/1/07,0.1465,0.1408,0.1023,0.0886,0.1659,0.0868,0.1468,0.1152,0.3287,0.044,137993,20.84,206.755,,118.6,131.93,249.2
6/1/07,0.1646,0.1982,0.248,0.1623,0.2058,0.163,0.2833,0.262,0.3213,0.046,138069,20.95,207.234,,120,131.71,248.3
7/1/07,0.1192,0.1758,0.2114,0.1331,0.1717,0.1518,0.2664,0.2656,0.2309,0.047,138038,20.96,207.603,,121.5,132.23,248.3
8/1/07,0.073,0.1483,0.173,0.0042,0.053,0.2382,0.2744,0.2967,0.1197,0.046,138015,21,207.667,,121.1,132.42,248
9/1/07,0.0563,0.1225,0.2429,0.0074,0.0521,0.2133,0.2326,0.2233,0.1103,0.047,138095,21.04,208.547,,121.8,132.77,248.4
10/1/07,0.1071,0.055,0.4045,-0.0127,0.0732,0.2224,0.3381,0.2378,0.1726,0.047,138174,21.06,209.19,,123.6,132.95,253
11/1/07,0.1021,-0.022,0.3587,-0.0798,0.083,0.1625,0.3041,0.2435,0.1661,0.047,138284,21.12,210.834,,127.5,133.38,255.6
12/1/07,0.1432,-0.0736,0.2124,-0.1352,0.106,0.1325,0.2002,0.1256,0.1824,0.05,138392,21.18,211.445,,127.3,134.03,255.6
1/1/08,0.0944,-0.1447,0.3711,-0.2132,0.0573,0.1116,0.1966,0.1408,0.1576,0.05,138403,21.19,212.174,,129.2,134.2,255.7
2/1/08,0.0176,-0.1746,0.2138,-0.22,-0.0369,0.0389,0.1127,-0.0076,0.0775,0.049,138324,21.26,212.687,,129.5,134.75,255.8
3/1/08,0.045,-0.1844,0.3512,-0.2769,-0.0233,0.0324,0.123,-0.0242,-0.0162,0.051,138275,21.36,213.448,,133.5,135.92,255.8
4/1/08,0.056,-0.1825,0.2247,-0.2764,-0.074,0.0572,0.066,-0.0201,-0.0392,0.05,138035,21.37,213.942,,137.3,135.94,255.8
5/1/08,0.0157,-0.171,0.2724,-0.2827,-0.1303,0.0222,0.0933,-0.0131,-0.037,0.054,137858,21.47,215.208,,141.2,136.46,254.8
6/1/08,0.0245,-0.1995,0.2468,-0.3493,-0.1279,-0.018,0.0812,-0.019,-0.0131,0.056,137687,21.52,217.463,,145.5,136.38,254.8
7/1/08,-0.0284,-0.2896,0.2758,-0.4568,-0.1477,-0.1426,0.0071,-0.1184,0.0108,0.058,137491,21.59,219.016,,147.5,136.51,254.8
8/1/08,0.0393,-0.227,0.0842,-0.346,-0.0447,-0.1173,0.0254,-0.1208,0.0119,0.061,137213,21.7,218.69,,143,136.77,263.7
9/1/08,0.0521,-0.1588,0.0359,-0.3511,-0.0467,-0.0915,-0.0013,-0.1077,-0.0049,0.061,136753,21.72,218.877,,137.8,137.05,275.6
10/1/08,-0.0133,-0.2171,-0.1612,-0.4181,-0.1521,-0.2618,-0.2228,-0.2757,-0.1686,0.065,136272,21.76,216.995,,129.6,137.63,277.4
11/1/08,-0.1375,-0.3781,-0.3304,-0.527,-0.2594,-0.3728,-0.4063,-0.4164,-0.2971,0.068,135545,21.88,213.153,,120,138.02,277.4
12/1/08,-0.1968,-0.427,-0.338,-0.6054,-0.3266,-0.4255,-0.4566,-0.4317,-0.3149,0.073,134839,21.94,211.398,,114.5,138.07,276.4
1/1/09,-0.1609,-0.3446,-0.3971,-0.5691,-0.2546,-0.3977,-0.4508,-0.4184,-0.3039,0.078,134055,21.97,211.933,,113,137.74,276.2
2/1/09,-0.1945,-0.4208,-0.3486,-0.6897,-0.2209,-0.4565,-0.4887,-0.3808,-0.2745,0.083,133312,21.99,212.705,,113,137.83,273.4
3/1/09,-0.253,-0.4418,-0.4719,-0.7152,-0.2753,-0.5308,-0.5365,-0.3715,-0.3343,0.087,132512,22.06,212.495,,113.6,139.11,270.6
4/1/09,-0.2536,-0.3571,-0.4377,-0.6677,-0.2358,-0.5154,-0.4606,-0.3264,-0.3407,0.09,131817,22.09,212.709,,114.8,139.06,268.7
5/1/09,-0.2067,-0.2737,-0.4306,-0.5953,-0.2302,-0.4309,-0.3909,-0.2838,-0.3479,0.094,131475,22.1,213.022,,116.8,138.88,266.8
6/1/09,-0.1808,-0.2696,-0.3844,-0.4984,-0.1879,-0.406,-0.3769,-0.2923,-0.3478,0.095,131008,22.13,214.79,,120,138.86,266.3
7/1/09,-0.1241,-0.1693,-0.449,-0.3994,-0.1236,-0.3504,-0.3658,-0.1904,-0.3079,0.095,130668,22.18,214.726,,119.3,138.71,258.5
8/1/09,-0.104,-0.1059,-0.3084,-0.3877,-0.1263,-0.3009,-0.2662,-0.1125,-0.2418,0.096,130485,22.23,215.445,,121.1,138.86,259.5
9/1/09,-0.1315,-0.1647,-0.2924,-0.3356,-0.1301,-0.302,-0.2453,-0.1431,-0.2452,0.098,130244,22.26,215.861,,121.3,139.29,257
10/1/09,-0.0777,-0.0503,-0.1404,-0.2518,-0.0468,-0.1379,-0.0589,0.0554,-0.1191,0.1,130045,22.31,216.509,,122.3,139.4,257
11/1/09,0.0509,0.1831,0.0996,-0.0859,0.0529,0.0128,0.134,0.2361,-0.0322,0.099,130057,22.36,217.234,100.2,124.1,139.34,258.7
12/1/09,0.1446,0.4449,0.1934,0.2128,0.2403,0.2234,0.4506,0.4643,0.0074,0.099,129788,22.36,217.347,100.3,124.4,139.33,258.2
1/1/10,0.1048,0.383,0.2017,0.1588,0.1849,0.1943,0.4664,0.4929,0.0661,0.098,129790,22.41,217.488,101.2,125.9,139.5,257.6
2/1/10,0.2031,0.5352,0.2005,0.5856,0.205,0.364,0.4616,0.4425,0.0318,0.098,129698,22.45,217.281,101,125.8,139.18,258.6
3/1/10,0.3471,0.7616,0.4033,1.015,0.3271,0.7146,0.6668,0.5638,0.1682,0.099,129879,22.45,217.353,101.1,126.3,139.38,264.9
4/1/10,0.3368,0.6489,0.3998,0.8785,0.3503,0.7256,0.5672,0.5,0.1816,0.099,130110,22.49,217.403,101.4,127.7,140.12,269.3
5/1/10,0.2533,0.4947,0.3092,0.5177,0.2792,0.4963,0.3261,0.3553,0.1686,0.096,130650,22.53,217.29,101.6,126.7,140.35,273.1
